media,Province,Number of Articles
Toronto Star,National,2523
Globe and Mail,National,1588
Vancouver Sun,British Columbia,1456
Edmonton Journal,Alberta,1179
Le Devoir,Quebec,1026
National Post,National,1005
Calgary Herald,Alberta,1003
Whitehorse Daily Star,Yukon,970
Montreal Gazette,Quebec,900
Chronicle Herald,Nova Scotia,866
The Telegram,Newfoundland and Labrador,706
Times Colonist,British Columbia,652
La Presse Plus,Quebec,641
La Presse,Quebec,596
Winnipeg Free Press,Manitoba,451
Acadie Nouvelle,New Brunswick,420
Star Phoenix,Saskatchewan,342
Le Droit,Ontario,332
Toronto Sun,Ontario,262
Journal de Montreal,Quebec,222
Total,National,17140
