epoch,train_loss,val_loss,precision_0,recall_0,f1_0,support_0,precision_1,recall_1,f1_1,support_1,macro_f1
1,0.7151906490325928,0.6696046590805054,0.6,1.0,0.75,3.0,0.0,0.0,0.0,2.0,0.375
2,0.6885771453380585,0.6534392833709717,0.6,1.0,0.75,3.0,0.0,0.0,0.0,2.0,0.375
3,0.6495752036571503,0.6322537660598755,0.6,1.0,0.75,3.0,0.0,0.0,0.0,2.0,0.375
4,0.6129396557807922,0.6050928235054016,0.75,1.0,0.8571428571428571,3.0,1.0,0.5,0.6666666666666666,2.0,0.7619047619047619
5,0.5684763193130493,0.5733519792556763,0.75,1.0,0.8571428571428571,3.0,1.0,0.5,0.6666666666666666,2.0,0.7619047619047619
6,0.5070706009864807,0.5386456251144409,0.75,1.0,0.8571428571428571,3.0,1.0,0.5,0.6666666666666666,2.0,0.7619047619047619
7,0.46258068084716797,0.4984166622161865,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0
8,0.40754932165145874,0.45474663376808167,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0
9,0.36202171444892883,0.41188591718673706,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0
10,0.3163827806711197,0.37244173884391785,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0
11,0.28805652260780334,0.3395925760269165,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0
12,0.2489275261759758,0.3061428666114807,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0
13,0.23223121464252472,0.2704063951969147,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0
14,0.21416322141885757,0.23569154739379883,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0
15,0.18966712802648544,0.2081989347934723,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0
16,0.17624835669994354,0.189072385430336,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0
17,0.17139799892902374,0.17637240886688232,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0
18,0.15997658669948578,0.16854575276374817,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0
19,0.15281298756599426,0.1640949249267578,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0
20,0.15032217651605606,0.16233336925506592,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0
