epoch,train_loss,val_loss,precision_0,recall_0,f1_0,support_0,precision_1,recall_1,f1_1,support_1,macro_f1
1,0.07225631599668508,0.017297619882111367,0.9974093264248705,1.0,0.9987029831387808,385.0,0.0,0.0,0.0,1.0,0.4993514915693904
2,0.018435086189277413,0.015997860464267433,0.9974093264248705,1.0,0.9987029831387808,385.0,0.0,0.0,0.0,1.0,0.4993514915693904
3,0.013396361913432233,0.00873149924266797,0.9974093264248705,1.0,0.9987029831387808,385.0,0.0,0.0,0.0,1.0,0.4993514915693904
4,0.0035356393221133786,0.01923577631196867,0.9974093264248705,1.0,0.9987029831387808,385.0,0.0,0.0,0.0,1.0,0.4993514915693904
5,0.0032753040270145735,0.021211072283711892,0.9974093264248705,1.0,0.9987029831387808,385.0,0.0,0.0,0.0,1.0,0.4993514915693904
6,0.000806896247718678,0.0032111547376329186,0.9974093264248705,1.0,0.9987029831387808,385.0,0.0,0.0,0.0,1.0,0.4993514915693904
7,0.00024602429291509015,0.0011809078776143277,1.0,1.0,1.0,385.0,1.0,1.0,1.0,1.0,1.0
8,0.0002044544490505656,0.0001034536629818971,1.0,1.0,1.0,385.0,1.0,1.0,1.0,1.0,1.0
9,3.99436967756851e-05,6.152679424513526e-05,1.0,1.0,1.0,385.0,1.0,1.0,1.0,1.0,1.0
10,3.26787294954779e-05,5.825493980619985e-05,1.0,1.0,1.0,385.0,1.0,1.0,1.0,1.0,1.0
11,2.99743367911421e-05,5.214098704387792e-05,1.0,1.0,1.0,385.0,1.0,1.0,1.0,1.0,1.0
12,2.751179699214622e-05,5.0426103021331633e-05,1.0,1.0,1.0,385.0,1.0,1.0,1.0,1.0,1.0
13,2.511360346071175e-05,4.915003354164163e-05,1.0,1.0,1.0,385.0,1.0,1.0,1.0,1.0,1.0
14,2.4107959614745913e-05,4.820100079646531e-05,1.0,1.0,1.0,385.0,1.0,1.0,1.0,1.0,1.0
15,2.2984921719287333e-05,4.8315204507022056e-05,1.0,1.0,1.0,385.0,1.0,1.0,1.0,1.0,1.0
16,2.181231446934826e-05,4.868369691953726e-05,1.0,1.0,1.0,385.0,1.0,1.0,1.0,1.0,1.0
17,2.1382284363166298e-05,4.709897977870871e-05,1.0,1.0,1.0,385.0,1.0,1.0,1.0,1.0,1.0
18,2.0611629076242656e-05,4.733448552612502e-05,1.0,1.0,1.0,385.0,1.0,1.0,1.0,1.0,1.0
19,2.0181839262273124e-05,4.742897328049786e-05,1.0,1.0,1.0,385.0,1.0,1.0,1.0,1.0,1.0
20,2.018200289707498e-05,4.750577276214384e-05,1.0,1.0,1.0,385.0,1.0,1.0,1.0,1.0,1.0
