epoch,train_loss,val_loss,precision_0,recall_0,f1_0,support_0,precision_1,recall_1,f1_1,support_1,macro_f1
1,0.21422928323348364,0.14471580721437932,0.9681528662420382,1.0,0.9838187702265372,152.0,0.0,0.0,0.0,5.0,0.4919093851132686
2,0.13919580413235558,0.145838026329875,0.9681528662420382,1.0,0.9838187702265372,152.0,0.0,0.0,0.0,5.0,0.4919093851132686
3,0.14080827852918043,0.14577393233776093,0.9681528662420382,1.0,0.9838187702265372,152.0,0.0,0.0,0.0,5.0,0.4919093851132686
4,0.14106371795965567,0.14427369460463524,0.9681528662420382,1.0,0.9838187702265372,152.0,0.0,0.0,0.0,5.0,0.4919093851132686
5,0.1412007893125216,0.1439416989684105,0.9681528662420382,1.0,0.9838187702265372,152.0,0.0,0.0,0.0,5.0,0.4919093851132686
6,0.14090988114476205,0.14411789290606974,0.9681528662420382,1.0,0.9838187702265372,152.0,0.0,0.0,0.0,5.0,0.4919093851132686
7,0.14374895385569997,0.14402470737695694,0.9681528662420382,1.0,0.9838187702265372,152.0,0.0,0.0,0.0,5.0,0.4919093851132686
8,0.13962758373883036,0.1439381580799818,0.9681528662420382,1.0,0.9838187702265372,152.0,0.0,0.0,0.0,5.0,0.4919093851132686
9,0.14026412156720955,0.14389162473380565,0.9681528662420382,1.0,0.9838187702265372,152.0,0.0,0.0,0.0,5.0,0.4919093851132686
10,0.13983460797203912,0.14391828328371048,0.9681528662420382,1.0,0.9838187702265372,152.0,0.0,0.0,0.0,5.0,0.4919093851132686
11,0.13982625698877704,0.14390117526054383,0.9681528662420382,1.0,0.9838187702265372,152.0,0.0,0.0,0.0,5.0,0.4919093851132686
12,0.1396161417580313,0.14383007809519768,0.9681528662420382,1.0,0.9838187702265372,152.0,0.0,0.0,0.0,5.0,0.4919093851132686
13,0.139375327154994,0.1438323438167572,0.9681528662420382,1.0,0.9838187702265372,152.0,0.0,0.0,0.0,5.0,0.4919093851132686
14,0.14015814223223264,0.14381770305335523,0.9681528662420382,1.0,0.9838187702265372,152.0,0.0,0.0,0.0,5.0,0.4919093851132686
15,0.1395002082404163,0.14375894851982593,0.9681528662420382,1.0,0.9838187702265372,152.0,0.0,0.0,0.0,5.0,0.4919093851132686
16,0.13969541378319264,0.1435053665190935,0.9681528662420382,1.0,0.9838187702265372,152.0,0.0,0.0,0.0,5.0,0.4919093851132686
17,0.13873548089630075,0.14298017621040343,0.9681528662420382,1.0,0.9838187702265372,152.0,0.0,0.0,0.0,5.0,0.4919093851132686
18,0.13865179042849277,0.14324158281087876,0.9681528662420382,1.0,0.9838187702265372,152.0,0.0,0.0,0.0,5.0,0.4919093851132686
19,0.136848128752576,0.14377524480223655,0.9681528662420382,1.0,0.9838187702265372,152.0,0.0,0.0,0.0,5.0,0.4919093851132686
20,0.13604899127450254,0.14201001189649104,0.9681528662420382,1.0,0.9838187702265372,152.0,0.0,0.0,0.0,5.0,0.4919093851132686
