epoch,train_loss,val_loss,precision_0,recall_0,f1_0,support_0,precision_1,recall_1,f1_1,support_1,macro_f1
1,0.9592432677745819,0.47919633984565735,0.9130434782608695,0.9130434782608695,0.9130434782608695,23.0,0.5,0.5,0.5,4.0,0.7065217391304348
2,0.7972956746816635,0.5718414783477783,0.8947368421052632,0.7391304347826086,0.8095238095238095,23.0,0.25,0.5,0.3333333333333333,4.0,0.5714285714285714
3,0.6201760768890381,0.6529063582420349,0.8461538461538461,0.4782608695652174,0.6111111111111112,23.0,0.14285714285714285,0.5,0.2222222222222222,4.0,0.4166666666666667
4,0.5877829641103745,0.7194413542747498,0.8181818181818182,0.391304347826087,0.5294117647058824,23.0,0.125,0.5,0.2,4.0,0.3647058823529412
5,0.5643393695354462,0.7784101963043213,0.75,0.2608695652173913,0.3870967741935484,23.0,0.10526315789473684,0.5,0.17391304347826086,4.0,0.2805049088359046
6,0.5349669754505157,0.7989075779914856,0.75,0.2608695652173913,0.3870967741935484,23.0,0.10526315789473684,0.5,0.17391304347826086,4.0,0.2805049088359046
7,0.5186694115400314,0.7921474575996399,0.7777777777777778,0.30434782608695654,0.4375,23.0,0.1111111111111111,0.5,0.18181818181818182,4.0,0.30965909090909094
8,0.4957212060689926,0.7563647627830505,0.8181818181818182,0.391304347826087,0.5294117647058824,23.0,0.125,0.5,0.2,4.0,0.3647058823529412
9,0.4870994836091995,0.7037732601165771,0.8571428571428571,0.5217391304347826,0.6486486486486487,23.0,0.15384615384615385,0.5,0.23529411764705882,4.0,0.4419713831478538
10,0.4518202468752861,0.676274836063385,0.8571428571428571,0.5217391304347826,0.6486486486486487,23.0,0.15384615384615385,0.5,0.23529411764705882,4.0,0.4419713831478538
11,0.44216930866241455,0.6738033294677734,0.8571428571428571,0.5217391304347826,0.6486486486486487,23.0,0.15384615384615385,0.5,0.23529411764705882,4.0,0.4419713831478538
12,0.41219740360975266,0.6732432246208191,0.8571428571428571,0.5217391304347826,0.6486486486486487,23.0,0.15384615384615385,0.5,0.23529411764705882,4.0,0.4419713831478538
13,0.38645362108945847,0.679763674736023,0.8571428571428571,0.5217391304347826,0.6486486486486487,23.0,0.15384615384615385,0.5,0.23529411764705882,4.0,0.4419713831478538
14,0.38151172548532486,0.6878113150596619,0.8571428571428571,0.5217391304347826,0.6486486486486487,23.0,0.15384615384615385,0.5,0.23529411764705882,4.0,0.4419713831478538
15,0.3865523785352707,0.6924089789390564,0.8571428571428571,0.5217391304347826,0.6486486486486487,23.0,0.15384615384615385,0.5,0.23529411764705882,4.0,0.4419713831478538
16,0.3701542690396309,0.703240692615509,0.8571428571428571,0.5217391304347826,0.6486486486486487,23.0,0.15384615384615385,0.5,0.23529411764705882,4.0,0.4419713831478538
17,0.3621256351470947,0.7110511064529419,0.8571428571428571,0.5217391304347826,0.6486486486486487,23.0,0.15384615384615385,0.5,0.23529411764705882,4.0,0.4419713831478538
18,0.35648252815008163,0.7142307758331299,0.8571428571428571,0.5217391304347826,0.6486486486486487,23.0,0.15384615384615385,0.5,0.23529411764705882,4.0,0.4419713831478538
19,0.3507867604494095,0.7151707410812378,0.8571428571428571,0.5217391304347826,0.6486486486486487,23.0,0.15384615384615385,0.5,0.23529411764705882,4.0,0.4419713831478538
20,0.35071568936109543,0.7155259251594543,0.8571428571428571,0.5217391304347826,0.6486486486486487,23.0,0.15384615384615385,0.5,0.23529411764705882,4.0,0.4419713831478538
