epoch,train_loss,val_loss,precision_0,recall_0,f1_0,support_0,precision_1,recall_1,f1_1,support_1,macro_f1
1,0.21394965031112617,0.16639072490999332,0.9614457831325302,1.0,0.9803439803439803,399.0,0.0,0.0,0.0,16.0,0.49017199017199015
2,0.16223567054392055,0.16817567196603006,0.9614457831325302,1.0,0.9803439803439803,399.0,0.0,0.0,0.0,16.0,0.49017199017199015
3,0.1660180687187956,0.16737220522302848,0.9614457831325302,1.0,0.9803439803439803,399.0,0.0,0.0,0.0,16.0,0.49017199017199015
4,0.16425119458626097,0.1669012513011694,0.9614457831325302,1.0,0.9803439803439803,399.0,0.0,0.0,0.0,16.0,0.49017199017199015
5,0.16565908713696095,0.16612317212499106,0.9614457831325302,1.0,0.9803439803439803,399.0,0.0,0.0,0.0,16.0,0.49017199017199015
6,0.16560426977677986,0.1645433223591401,0.9614457831325302,1.0,0.9803439803439803,399.0,0.0,0.0,0.0,16.0,0.49017199017199015
7,0.16241265940838134,0.1646408369907966,0.9614457831325302,1.0,0.9803439803439803,399.0,0.0,0.0,0.0,16.0,0.49017199017199015
8,0.16403570821365485,0.16432689459851155,0.9614457831325302,1.0,0.9803439803439803,399.0,0.0,0.0,0.0,16.0,0.49017199017199015
9,0.16470044786826923,0.16402317153719756,0.9614457831325302,1.0,0.9803439803439803,399.0,0.0,0.0,0.0,16.0,0.49017199017199015
10,0.16314711242627639,0.16386700937381157,0.9614457831325302,1.0,0.9803439803439803,399.0,0.0,0.0,0.0,16.0,0.49017199017199015
11,0.16401588873794445,0.1628470062636412,0.9614457831325302,1.0,0.9803439803439803,399.0,0.0,0.0,0.0,16.0,0.49017199017199015
12,0.16324014804111078,0.16407668117720348,0.9614457831325302,1.0,0.9803439803439803,399.0,0.0,0.0,0.0,16.0,0.49017199017199015
13,0.16432432343180364,0.16337771255236405,0.9614457831325302,1.0,0.9803439803439803,399.0,0.0,0.0,0.0,16.0,0.49017199017199015
14,0.16259595250281003,0.16308175399899483,0.9614457831325302,1.0,0.9803439803439803,399.0,0.0,0.0,0.0,16.0,0.49017199017199015
15,0.1595707141722624,0.14869031281425402,0.9614457831325302,1.0,0.9803439803439803,399.0,0.0,0.0,0.0,16.0,0.49017199017199015
16,0.1305614378160009,0.1243527103215456,0.9614457831325302,1.0,0.9803439803439803,399.0,0.0,0.0,0.0,16.0,0.49017199017199015
17,0.10311442570617566,0.12080376982115783,0.98,0.9824561403508771,0.981226533166458,399.0,0.5333333333333333,0.5,0.5161290322580645,16.0,0.7486777827122613
18,0.07219094528745,0.14529081297895083,0.9683698296836983,0.9974937343358395,0.9827160493827161,399.0,0.75,0.1875,0.3,16.0,0.641358024691358
19,0.06594020468541063,0.1278431540211806,0.9727047146401985,0.9824561403508771,0.9775561097256857,399.0,0.4166666666666667,0.3125,0.35714285714285715,16.0,0.6673494834342715
20,0.0487195358862384,0.13687945443850297,0.9821882951653944,0.9674185463659147,0.9747474747474747,399.0,0.4090909090909091,0.5625,0.47368421052631576,16.0,0.7242158426368952
