epoch,train_loss,val_loss,precision_0,recall_0,f1_0,support_0,precision_1,recall_1,f1_1,support_1,macro_f1
1,0.6928119659423828,0.6787555813789368,0.5,1.0,0.6666666666666666,3.0,0.0,0.0,0.0,3.0,0.3333333333333333
2,0.6632063984870911,0.6561176776885986,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,0.6666666666666666
3,0.6260843873023987,0.6188489198684692,1.0,0.6666666666666666,0.8,3.0,0.75,1.0,0.8571428571428571,3.0,0.8285714285714285
4,0.5633916258811951,0.5723071098327637,1.0,0.6666666666666666,0.8,3.0,0.75,1.0,0.8571428571428571,3.0,0.8285714285714285
5,0.4908660054206848,0.5261914134025574,1.0,0.6666666666666666,0.8,3.0,0.75,1.0,0.8571428571428571,3.0,0.8285714285714285
6,0.41665180027484894,0.49230918288230896,1.0,0.6666666666666666,0.8,3.0,0.75,1.0,0.8571428571428571,3.0,0.8285714285714285
7,0.3450350910425186,0.4730415642261505,1.0,0.6666666666666666,0.8,3.0,0.75,1.0,0.8571428571428571,3.0,0.8285714285714285
8,0.2888924479484558,0.46347904205322266,1.0,0.6666666666666666,0.8,3.0,0.75,1.0,0.8571428571428571,3.0,0.8285714285714285
9,0.24629031866788864,0.45785748958587646,1.0,0.6666666666666666,0.8,3.0,0.75,1.0,0.8571428571428571,3.0,0.8285714285714285
10,0.21519890427589417,0.4561406075954437,1.0,0.6666666666666666,0.8,3.0,0.75,1.0,0.8571428571428571,3.0,0.8285714285714285
11,0.18639465421438217,0.45829376578330994,1.0,0.6666666666666666,0.8,3.0,0.75,1.0,0.8571428571428571,3.0,0.8285714285714285
12,0.16759823262691498,0.4616328775882721,1.0,0.6666666666666666,0.8,3.0,0.75,1.0,0.8571428571428571,3.0,0.8285714285714285
13,0.15307626873254776,0.46576642990112305,1.0,0.6666666666666666,0.8,3.0,0.75,1.0,0.8571428571428571,3.0,0.8285714285714285
14,0.1420465111732483,0.47004368901252747,1.0,0.6666666666666666,0.8,3.0,0.75,1.0,0.8571428571428571,3.0,0.8285714285714285
15,0.13249026238918304,0.47408393025398254,1.0,0.6666666666666666,0.8,3.0,0.75,1.0,0.8571428571428571,3.0,0.8285714285714285
16,0.12403859570622444,0.4776346683502197,1.0,0.6666666666666666,0.8,3.0,0.75,1.0,0.8571428571428571,3.0,0.8285714285714285
17,0.12028985098004341,0.48056459426879883,1.0,0.6666666666666666,0.8,3.0,0.75,1.0,0.8571428571428571,3.0,0.8285714285714285
18,0.11313441395759583,0.4827568829059601,1.0,0.6666666666666666,0.8,3.0,0.75,1.0,0.8571428571428571,3.0,0.8285714285714285
19,0.11210467666387558,0.48416194319725037,1.0,0.6666666666666666,0.8,3.0,0.75,1.0,0.8571428571428571,3.0,0.8285714285714285
20,0.10875886678695679,0.48477134108543396,1.0,0.6666666666666666,0.8,3.0,0.75,1.0,0.8571428571428571,3.0,0.8285714285714285
