epoch,train_loss,val_loss,precision_0,recall_0,f1_0,support_0,precision_1,recall_1,f1_1,support_1,macro_f1
1,0.3542094610631466,0.09469415433704853,0.9696969696969697,1.0,0.9846153846153847,32.0,0.0,0.0,0.0,1.0,0.49230769230769234
2,0.12949482258409262,0.07769426237791777,0.9696969696969697,1.0,0.9846153846153847,32.0,0.0,0.0,0.0,1.0,0.49230769230769234
3,0.0850612597540021,0.07928800629451871,0.9696969696969697,1.0,0.9846153846153847,32.0,0.0,0.0,0.0,1.0,0.49230769230769234
4,0.04754665358923375,0.07412571832537651,0.9696969696969697,1.0,0.9846153846153847,32.0,0.0,0.0,0.0,1.0,0.49230769230769234
5,0.01575900590978563,0.04934676592529286,0.9696969696969697,1.0,0.9846153846153847,32.0,0.0,0.0,0.0,1.0,0.49230769230769234
6,0.010380460228770972,0.030874749965732917,0.9696969696969697,1.0,0.9846153846153847,32.0,0.0,0.0,0.0,1.0,0.49230769230769234
7,0.008019738271832466,0.019396108618821017,1.0,1.0,1.0,32.0,1.0,1.0,1.0,1.0,1.0
8,0.005087711400119588,0.01659493105398724,1.0,1.0,1.0,32.0,1.0,1.0,1.0,1.0,1.0
9,0.002355379234359134,0.023190379790321458,1.0,1.0,1.0,32.0,1.0,1.0,1.0,1.0,1.0
10,0.0009731730286148376,0.042811126899323426,1.0,0.9375,0.967741935483871,32.0,0.3333333333333333,1.0,0.5,1.0,0.7338709677419355
11,0.0006190519037772901,0.05834745051106438,1.0,0.90625,0.9508196721311475,32.0,0.25,1.0,0.4,1.0,0.6754098360655738
12,0.00046655927144456655,0.06783007668127539,1.0,0.90625,0.9508196721311475,32.0,0.25,1.0,0.4,1.0,0.6754098360655738
13,0.0003054245593375526,0.06935979284025962,1.0,0.90625,0.9508196721311475,32.0,0.25,1.0,0.4,1.0,0.6754098360655738
14,0.00028724013827741146,0.06732559823285555,1.0,0.90625,0.9508196721311475,32.0,0.25,1.0,0.4,1.0,0.6754098360655738
15,0.0002697928539419081,0.06511108462655102,1.0,0.90625,0.9508196721311475,32.0,0.25,1.0,0.4,1.0,0.6754098360655738
16,0.00021433523506857454,0.06239110868773423,1.0,0.90625,0.9508196721311475,32.0,0.25,1.0,0.4,1.0,0.6754098360655738
17,0.00019488092293613591,0.06039611520100152,1.0,0.9375,0.967741935483871,32.0,0.3333333333333333,1.0,0.5,1.0,0.7338709677419355
18,0.00019413941481616348,0.05946161499377922,1.0,0.9375,0.967741935483871,32.0,0.3333333333333333,1.0,0.5,1.0,0.7338709677419355
19,0.00018946169584523886,0.060050799478631234,1.0,0.9375,0.967741935483871,32.0,0.3333333333333333,1.0,0.5,1.0,0.7338709677419355
20,0.00017452635438530706,0.060427709457144374,1.0,0.9375,0.967741935483871,32.0,0.3333333333333333,1.0,0.5,1.0,0.7338709677419355
