epoch,train_loss,val_loss,precision_0,recall_0,f1_0,support_0,precision_1,recall_1,f1_1,support_1,macro_f1
1,0.6905079086621603,0.5207523107528687,0.7777777777777778,1.0,0.875,7.0,0.0,0.0,0.0,2.0,0.4375
2,0.5405770540237427,0.5068775415420532,0.7777777777777778,1.0,0.875,7.0,0.0,0.0,0.0,2.0,0.4375
3,0.5086256961027781,0.5002230405807495,0.7777777777777778,1.0,0.875,7.0,0.0,0.0,0.0,2.0,0.4375
4,0.4346523384253184,0.46814239025115967,0.7777777777777778,1.0,0.875,7.0,0.0,0.0,0.0,2.0,0.4375
5,0.36152475078900653,0.4145517945289612,0.7777777777777778,1.0,0.875,7.0,0.0,0.0,0.0,2.0,0.4375
6,0.2904341419537862,0.3734709620475769,0.7777777777777778,1.0,0.875,7.0,0.0,0.0,0.0,2.0,0.4375
7,0.20754806697368622,0.4004305601119995,0.7777777777777778,1.0,0.875,7.0,0.0,0.0,0.0,2.0,0.4375
8,0.14685502648353577,0.5214877724647522,0.7777777777777778,1.0,0.875,7.0,0.0,0.0,0.0,2.0,0.4375
9,0.10555625706911087,0.6246860027313232,0.7777777777777778,1.0,0.875,7.0,0.0,0.0,0.0,2.0,0.4375
10,0.0827951009074847,0.6022723317146301,0.7777777777777778,1.0,0.875,7.0,0.0,0.0,0.0,2.0,0.4375
11,0.05844401443998019,0.4798036813735962,0.7777777777777778,1.0,0.875,7.0,0.0,0.0,0.0,2.0,0.4375
12,0.046308193976680435,0.3721674978733063,0.7777777777777778,1.0,0.875,7.0,0.0,0.0,0.0,2.0,0.4375
13,0.029284094149867695,0.34914904832839966,0.875,1.0,0.9333333333333333,7.0,1.0,0.5,0.6666666666666666,2.0,0.8
14,0.019782195178170998,0.3708416521549225,0.875,1.0,0.9333333333333333,7.0,1.0,0.5,0.6666666666666666,2.0,0.8
15,0.014970229317744574,0.41623207926750183,0.875,1.0,0.9333333333333333,7.0,1.0,0.5,0.6666666666666666,2.0,0.8
16,0.011899472524722418,0.4535638391971588,0.875,1.0,0.9333333333333333,7.0,1.0,0.5,0.6666666666666666,2.0,0.8
17,0.010296458844095469,0.47521787881851196,0.875,1.0,0.9333333333333333,7.0,1.0,0.5,0.6666666666666666,2.0,0.8
18,0.009043170449634394,0.48682770133018494,0.875,1.0,0.9333333333333333,7.0,1.0,0.5,0.6666666666666666,2.0,0.8
19,0.007892821760227283,0.49363046884536743,0.875,1.0,0.9333333333333333,7.0,1.0,0.5,0.6666666666666666,2.0,0.8
20,0.007693556447823842,0.49569928646087646,0.875,1.0,0.9333333333333333,7.0,1.0,0.5,0.6666666666666666,2.0,0.8
