epoch,train_loss,val_loss,precision_0,recall_0,f1_0,support_0,precision_1,recall_1,f1_1,support_1,macro_f1
1,0.9009222984313965,0.5663474202156067,0.7777777777777778,1.0,0.875,7.0,0.0,0.0,0.0,2.0,0.4375
2,0.8654961884021759,0.5792815685272217,0.7777777777777778,1.0,0.875,7.0,0.0,0.0,0.0,2.0,0.4375
3,0.8766286075115204,0.5926973223686218,0.7777777777777778,1.0,0.875,7.0,0.0,0.0,0.0,2.0,0.4375
4,0.8082681596279144,0.6061270236968994,0.7777777777777778,1.0,0.875,7.0,0.0,0.0,0.0,2.0,0.4375
5,0.7695277333259583,0.61957186460495,0.7777777777777778,1.0,0.875,7.0,0.0,0.0,0.0,2.0,0.4375
6,0.7784448266029358,0.6330279111862183,0.7777777777777778,1.0,0.875,7.0,0.0,0.0,0.0,2.0,0.4375
7,0.7497121691703796,0.646382212638855,0.7777777777777778,1.0,0.875,7.0,0.0,0.0,0.0,2.0,0.4375
8,0.7242248952388763,0.6597248911857605,0.7777777777777778,1.0,0.875,7.0,0.0,0.0,0.0,2.0,0.4375
9,0.7463417947292328,0.6727712154388428,0.7777777777777778,1.0,0.875,7.0,0.0,0.0,0.0,2.0,0.4375
10,0.7121910154819489,0.6854403018951416,0.75,0.8571428571428571,0.8,7.0,0.0,0.0,0.0,2.0,0.4
11,0.6953276097774506,0.6976108551025391,0.6666666666666666,0.5714285714285714,0.6153846153846154,7.0,0.0,0.0,0.0,2.0,0.3076923076923077
12,0.6565766632556915,0.7087435126304626,0.5,0.14285714285714285,0.2222222222222222,7.0,0.14285714285714285,0.5,0.2222222222222222,2.0,0.2222222222222222
13,0.6680714786052704,0.7188057899475098,0.0,0.0,0.0,7.0,0.2222222222222222,1.0,0.36363636363636365,2.0,0.18181818181818182
14,0.6419077813625336,0.7277559638023376,0.0,0.0,0.0,7.0,0.2222222222222222,1.0,0.36363636363636365,2.0,0.18181818181818182
15,0.655541330575943,0.7355396747589111,0.0,0.0,0.0,7.0,0.2222222222222222,1.0,0.36363636363636365,2.0,0.18181818181818182
16,0.6301424503326416,0.7420998811721802,0.0,0.0,0.0,7.0,0.2222222222222222,1.0,0.36363636363636365,2.0,0.18181818181818182
17,0.631954699754715,0.7473470568656921,0.0,0.0,0.0,7.0,0.2222222222222222,1.0,0.36363636363636365,2.0,0.18181818181818182
18,0.6423100829124451,0.7511813044548035,0.0,0.0,0.0,7.0,0.2222222222222222,1.0,0.36363636363636365,2.0,0.18181818181818182
19,0.6194946765899658,0.753603994846344,0.0,0.0,0.0,7.0,0.2222222222222222,1.0,0.36363636363636365,2.0,0.18181818181818182
20,0.6308866143226624,0.7546429634094238,0.0,0.0,0.0,7.0,0.2222222222222222,1.0,0.36363636363636365,2.0,0.18181818181818182
