epoch,train_loss,val_loss,precision_0,recall_0,f1_0,support_0,precision_1,recall_1,f1_1,support_1,macro_f1
1,0.0726913317445327,0.36472057302792865,0.9552238805970149,0.9552238805970149,0.9552238805970149,67.0,0.4,0.4,0.4,5.0,0.6776119402985075
2,0.012631426015022125,0.44128454724947613,0.9516129032258065,0.8805970149253731,0.9147286821705426,67.0,0.2,0.4,0.26666666666666666,5.0,0.5906976744186047
3,0.010443268724801865,0.3364059080680211,0.9565217391304348,0.9850746268656716,0.9705882352941176,67.0,0.6666666666666666,0.4,0.5,5.0,0.7352941176470589
4,0.0030993549999865618,0.3441721002260844,0.9571428571428572,1.0,0.9781021897810219,67.0,1.0,0.4,0.5714285714285714,5.0,0.7747653806047967
5,0.0027641012037003584,0.3561457544565201,0.9571428571428572,1.0,0.9781021897810219,67.0,1.0,0.4,0.5714285714285714,5.0,0.7747653806047967
6,0.002094195901670239,0.36363265415032703,0.9571428571428572,1.0,0.9781021897810219,67.0,1.0,0.4,0.5714285714285714,5.0,0.7747653806047967
7,0.0016737308840013363,0.3684919426838557,0.9571428571428572,1.0,0.9781021897810219,67.0,1.0,0.4,0.5714285714285714,5.0,0.7747653806047967
8,0.0015119784511625767,0.37222058574358624,0.9571428571428572,1.0,0.9781021897810219,67.0,1.0,0.4,0.5714285714285714,5.0,0.7747653806047967
9,0.0013719072925265539,0.37539133926232654,0.9571428571428572,1.0,0.9781021897810219,67.0,1.0,0.4,0.5714285714285714,5.0,0.7747653806047967
10,0.0012530248442834074,0.37852706511815387,0.9571428571428572,1.0,0.9781021897810219,67.0,1.0,0.4,0.5714285714285714,5.0,0.7747653806047967
11,0.0011316980235278606,0.381056676308314,0.9571428571428572,1.0,0.9781021897810219,67.0,1.0,0.4,0.5714285714285714,5.0,0.7747653806047967
12,0.0010710545995442028,0.3833336780468623,0.9571428571428572,1.0,0.9781021897810219,67.0,1.0,0.4,0.5714285714285714,5.0,0.7747653806047967
13,0.0010445136894387278,0.3853501280148824,0.9571428571428572,1.0,0.9781021897810219,67.0,1.0,0.4,0.5714285714285714,5.0,0.7747653806047967
14,0.00098118198167702,0.38706426819165546,0.9571428571428572,1.0,0.9781021897810219,67.0,1.0,0.4,0.5714285714285714,5.0,0.7747653806047967
15,0.0009501068588261577,0.38857504228750867,0.9571428571428572,1.0,0.9781021897810219,67.0,1.0,0.4,0.5714285714285714,5.0,0.7747653806047967
16,0.0009347096784040332,0.38978541890780133,0.9571428571428572,1.0,0.9781021897810219,67.0,1.0,0.4,0.5714285714285714,5.0,0.7747653806047967
17,0.0008965173937295648,0.3907949874798457,0.9571428571428572,1.0,0.9781021897810219,67.0,1.0,0.4,0.5714285714285714,5.0,0.7747653806047967
18,0.0008829732330261984,0.39156800011793774,0.9571428571428572,1.0,0.9781021897810219,67.0,1.0,0.4,0.5714285714285714,5.0,0.7747653806047967
19,0.0008663280274380337,0.39202279845873517,0.9571428571428572,1.0,0.9781021897810219,67.0,1.0,0.4,0.5714285714285714,5.0,0.7747653806047967
20,0.0008925976739688353,0.39219177265961963,0.9571428571428572,1.0,0.9781021897810219,67.0,1.0,0.4,0.5714285714285714,5.0,0.7747653806047967
