epoch,train_loss,val_loss,precision_0,recall_0,f1_0,support_0,precision_1,recall_1,f1_1,support_1,macro_f1
1,0.8951614499092102,0.5628907084465027,0.8333333333333334,1.0,0.9090909090909091,5.0,0.0,0.0,0.0,1.0,0.45454545454545453
2,0.8508080840110779,0.5742284655570984,0.8333333333333334,1.0,0.9090909090909091,5.0,0.0,0.0,0.0,1.0,0.45454545454545453
3,0.8219903111457825,0.5853635668754578,0.8333333333333334,1.0,0.9090909090909091,5.0,0.0,0.0,0.0,1.0,0.45454545454545453
4,0.8380494117736816,0.5961437821388245,0.8333333333333334,1.0,0.9090909090909091,5.0,0.0,0.0,0.0,1.0,0.45454545454545453
5,0.7833560705184937,0.6066096425056458,0.8333333333333334,1.0,0.9090909090909091,5.0,0.0,0.0,0.0,1.0,0.45454545454545453
6,0.7810989022254944,0.6171910762786865,0.8333333333333334,1.0,0.9090909090909091,5.0,0.0,0.0,0.0,1.0,0.45454545454545453
7,0.7489911317825317,0.6287207007408142,0.8333333333333334,1.0,0.9090909090909091,5.0,0.0,0.0,0.0,1.0,0.45454545454545453
8,0.7048004865646362,0.6411392092704773,0.8333333333333334,1.0,0.9090909090909091,5.0,0.0,0.0,0.0,1.0,0.45454545454545453
9,0.7360500693321228,0.6541538238525391,0.8333333333333334,1.0,0.9090909090909091,5.0,0.0,0.0,0.0,1.0,0.45454545454545453
10,0.7063189744949341,0.6668909192085266,0.8,0.8,0.8,5.0,0.0,0.0,0.0,1.0,0.4
11,0.7073469758033752,0.6786584258079529,0.75,0.6,0.6666666666666666,5.0,0.0,0.0,0.0,1.0,0.3333333333333333
12,0.6850219964981079,0.6892402768135071,0.75,0.6,0.6666666666666666,5.0,0.0,0.0,0.0,1.0,0.3333333333333333
13,0.6843251585960388,0.6986275315284729,0.75,0.6,0.6666666666666666,5.0,0.0,0.0,0.0,1.0,0.3333333333333333
14,0.711089015007019,0.7068495750427246,0.75,0.6,0.6666666666666666,5.0,0.0,0.0,0.0,1.0,0.3333333333333333
15,0.6778236627578735,0.7138643264770508,0.75,0.6,0.6666666666666666,5.0,0.0,0.0,0.0,1.0,0.3333333333333333
16,0.650532603263855,0.7197098731994629,0.6666666666666666,0.4,0.5,5.0,0.0,0.0,0.0,1.0,0.25
17,0.6794833540916443,0.7241544723510742,1.0,0.4,0.5714285714285714,5.0,0.25,1.0,0.4,1.0,0.4857142857142857
18,0.6336113214492798,0.7274227142333984,1.0,0.2,0.3333333333333333,5.0,0.2,1.0,0.3333333333333333,1.0,0.3333333333333333
19,0.6475781798362732,0.7295618653297424,1.0,0.2,0.3333333333333333,5.0,0.2,1.0,0.3333333333333333,1.0,0.3333333333333333
20,0.6781403422355652,0.7306305766105652,1.0,0.2,0.3333333333333333,5.0,0.2,1.0,0.3333333333333333,1.0,0.3333333333333333
