epoch,train_loss,val_loss,precision_0,recall_0,f1_0,support_0,precision_1,recall_1,f1_1,support_1,macro_f1
1,0.2121342486805386,0.11703319139778615,0.9745222929936306,1.0,0.9870967741935484,153.0,0.0,0.0,0.0,4.0,0.4935483870967742
2,0.12680041955577004,0.11659032329916955,0.9745222929936306,1.0,0.9870967741935484,153.0,0.0,0.0,0.0,4.0,0.4935483870967742
3,0.12350692161255412,0.1174190878868103,0.9745222929936306,1.0,0.9870967741935484,153.0,0.0,0.0,0.0,4.0,0.4935483870967742
4,0.08806931566860941,0.0676145264878869,1.0,0.9673202614379085,0.9833887043189369,153.0,0.4444444444444444,1.0,0.6153846153846154,4.0,0.7993866598517761
5,0.04957210467093521,0.06626051403582096,1.0,0.9738562091503268,0.9867549668874173,153.0,0.5,1.0,0.6666666666666666,4.0,0.826710816777042
6,0.051224483508202766,0.06096532829105854,0.9870967741935484,1.0,0.9935064935064936,153.0,1.0,0.5,0.6666666666666666,4.0,0.8300865800865801
7,0.030571214399403995,0.14527949662879108,0.9745222929936306,1.0,0.9870967741935484,153.0,0.0,0.0,0.0,4.0,0.4935483870967742
8,0.0268599737332099,0.14487443156540394,0.9745222929936306,1.0,0.9870967741935484,153.0,0.0,0.0,0.0,4.0,0.4935483870967742
9,0.01837187494772176,0.08431019904091955,0.993421052631579,0.9869281045751634,0.9901639344262295,153.0,0.6,0.75,0.6666666666666666,4.0,0.8284153005464481
10,0.01514102156377501,0.15014463802799582,0.9745222929936306,1.0,0.9870967741935484,153.0,0.0,0.0,0.0,4.0,0.4935483870967742
11,0.014793680152959295,0.14171792424749582,0.9745222929936306,1.0,0.9870967741935484,153.0,0.0,0.0,0.0,4.0,0.4935483870967742
12,0.014497531231285797,0.15176473325118423,0.9745222929936306,1.0,0.9870967741935484,153.0,0.0,0.0,0.0,4.0,0.4935483870967742
13,0.013006314417968194,0.10835524734575301,0.9806451612903225,0.9934640522875817,0.987012987012987,153.0,0.5,0.25,0.3333333333333333,4.0,0.6601731601731602
14,0.010430734348483383,0.16300739471334963,0.9745222929936306,1.0,0.9870967741935484,153.0,0.0,0.0,0.0,4.0,0.4935483870967742
15,0.0045874857783524525,0.1680645379005,0.9745222929936306,1.0,0.9870967741935484,153.0,0.0,0.0,0.0,4.0,0.4935483870967742
16,0.0018013758093325628,0.16934934022137896,0.9745222929936306,1.0,0.9870967741935484,153.0,0.0,0.0,0.0,4.0,0.4935483870967742
17,0.0013723075570952561,0.17104084126185626,0.9745222929936306,1.0,0.9870967741935484,153.0,0.0,0.0,0.0,4.0,0.4935483870967742
18,0.0012396500911563634,0.1723744592978619,0.9745222929936306,1.0,0.9870967741935484,153.0,0.0,0.0,0.0,4.0,0.4935483870967742
19,0.001168659779553612,0.17334203188074754,0.9745222929936306,1.0,0.9870967741935484,153.0,0.0,0.0,0.0,4.0,0.4935483870967742
20,0.001153167132805619,0.17367176840780302,0.9745222929936306,1.0,0.9870967741935484,153.0,0.0,0.0,0.0,4.0,0.4935483870967742
