epoch,train_loss,val_loss,precision_0,recall_0,f1_0,support_0,precision_1,recall_1,f1_1,support_1,macro_f1
1,0.5931228213012218,0.4623273015022278,0.8076923076923077,1.0,0.8936170212765957,21.0,0.0,0.0,0.0,5.0,0.44680851063829785
2,0.49370941892266273,0.48874202370643616,0.8076923076923077,1.0,0.8936170212765957,21.0,0.0,0.0,0.0,5.0,0.44680851063829785
3,0.4284924790263176,0.5129814743995667,0.8076923076923077,1.0,0.8936170212765957,21.0,0.0,0.0,0.0,5.0,0.44680851063829785
4,0.38530262000858784,0.3691534399986267,0.875,1.0,0.9333333333333333,21.0,1.0,0.4,0.5714285714285714,5.0,0.7523809523809524
5,0.21085946075618267,0.40467569231987,0.875,1.0,0.9333333333333333,21.0,1.0,0.4,0.5714285714285714,5.0,0.7523809523809524
6,0.125986747443676,0.6078289747238159,0.84,1.0,0.9130434782608695,21.0,1.0,0.2,0.3333333333333333,5.0,0.6231884057971014
7,0.07789228530600667,0.47106632590293884,0.875,1.0,0.9333333333333333,21.0,1.0,0.4,0.5714285714285714,5.0,0.7523809523809524
8,0.037918247980996966,0.5059740543365479,0.875,1.0,0.9333333333333333,21.0,1.0,0.4,0.5714285714285714,5.0,0.7523809523809524
9,0.017129562853369862,0.4704928696155548,0.8695652173913043,0.9523809523809523,0.9090909090909091,21.0,0.6666666666666666,0.4,0.5,5.0,0.7045454545454546
10,0.007108794234227389,0.5638675093650818,0.875,1.0,0.9333333333333333,21.0,1.0,0.4,0.5714285714285714,5.0,0.7523809523809524
11,0.0034000644081970677,0.4641680419445038,0.875,1.0,0.9333333333333333,21.0,1.0,0.4,0.5714285714285714,5.0,0.7523809523809524
12,0.0018221708160126582,0.46259695291519165,0.9090909090909091,0.9523809523809523,0.9302325581395349,21.0,0.75,0.6,0.6666666666666666,5.0,0.7984496124031008
13,0.0012884374518762343,0.46490365266799927,0.9090909090909091,0.9523809523809523,0.9302325581395349,21.0,0.75,0.6,0.6666666666666666,5.0,0.7984496124031008
14,0.0007989346922840923,0.46535301208496094,0.9090909090909091,0.9523809523809523,0.9302325581395349,21.0,0.75,0.6,0.6666666666666666,5.0,0.7984496124031008
15,0.0006454547001339961,0.468768447637558,0.9090909090909091,0.9523809523809523,0.9302325581395349,21.0,0.75,0.6,0.6666666666666666,5.0,0.7984496124031008
16,0.0005980079658911563,0.47145402431488037,0.9090909090909091,0.9523809523809523,0.9302325581395349,21.0,0.75,0.6,0.6666666666666666,5.0,0.7984496124031008
17,0.0005036285474488977,0.47489267587661743,0.9047619047619048,0.9047619047619048,0.9047619047619048,21.0,0.6,0.6,0.6,5.0,0.7523809523809524
18,0.0004318243336456362,0.4774540066719055,0.9047619047619048,0.9047619047619048,0.9047619047619048,21.0,0.6,0.6,0.6,5.0,0.7523809523809524
19,0.0004205588484182954,0.47927576303482056,0.9047619047619048,0.9047619047619048,0.9047619047619048,21.0,0.6,0.6,0.6,5.0,0.7523809523809524
20,0.0004005630216852296,0.4797199070453644,0.9047619047619048,0.9047619047619048,0.9047619047619048,21.0,0.6,0.6,0.6,5.0,0.7523809523809524
