epoch,train_loss,val_loss,precision_0,recall_0,f1_0,support_0,precision_1,recall_1,f1_1,support_1,macro_f1
1,0.7139269709587097,0.6732274293899536,0.0,0.0,0.0,1.0,0.5,1.0,0.6666666666666666,1.0,0.3333333333333333
2,0.706954300403595,0.6110451221466064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0.6148549914360046,0.6217120885848999,0.0,0.0,0.0,1.0,0.5,1.0,0.6666666666666666,1.0,0.3333333333333333
4,0.5137290954589844,0.5829044580459595,0.0,0.0,0.0,1.0,0.5,1.0,0.6666666666666666,1.0,0.3333333333333333
5,0.4617769718170166,0.46964362263679504,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0.3648558557033539,0.3518146872520447,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,0.32761889696121216,0.2937093675136566,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0.2535257339477539,0.27216359972953796,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,0.22169607877731323,0.3739621341228485,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,0.1933114379644394,0.5997529625892639,0.0,0.0,0.0,1.0,0.5,1.0,0.6666666666666666,1.0,0.3333333333333333
11,0.15131032466888428,0.7920328378677368,0.0,0.0,0.0,1.0,0.5,1.0,0.6666666666666666,1.0,0.3333333333333333
12,0.14307910203933716,0.7972097992897034,0.0,0.0,0.0,1.0,0.5,1.0,0.6666666666666666,1.0,0.3333333333333333
13,0.12392880022525787,0.5847043991088867,0.0,0.0,0.0,1.0,0.5,1.0,0.6666666666666666,1.0,0.3333333333333333
14,0.1138351559638977,0.3043774366378784,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,0.09143520891666412,0.17387765645980835,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,0.09706553816795349,0.137977734208107,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,0.08983282744884491,0.13651099801063538,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,0.08170726150274277,0.13504382967948914,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,0.0773053914308548,0.13446033000946045,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,0.07480373233556747,0.1344941258430481,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
