epoch,train_loss,val_loss,precision_0,recall_0,f1_0,support_0,precision_1,recall_1,f1_1,support_1,macro_f1
1,0.17347523611452845,0.07050965875387191,0.9872611464968153,1.0,0.9935897435897436,155.0,0.0,0.0,0.0,2.0,0.4967948717948718
2,0.07110772964855035,0.0700441513210535,0.9872611464968153,1.0,0.9935897435897436,155.0,0.0,0.0,0.0,2.0,0.4967948717948718
3,0.07154365045328935,0.07001308612525463,0.9872611464968153,1.0,0.9935897435897436,155.0,0.0,0.0,0.0,2.0,0.4967948717948718
4,0.07078549582511187,0.06995170172303915,0.9872611464968153,1.0,0.9935897435897436,155.0,0.0,0.0,0.0,2.0,0.4967948717948718
5,0.07025730609893799,0.06985981445759534,0.9872611464968153,1.0,0.9935897435897436,155.0,0.0,0.0,0.0,2.0,0.4967948717948718
6,0.07115687467157841,0.06924775671213865,0.9872611464968153,1.0,0.9935897435897436,155.0,0.0,0.0,0.0,2.0,0.4967948717948718
7,0.0707314876632558,0.06726062707602978,0.9872611464968153,1.0,0.9935897435897436,155.0,0.0,0.0,0.0,2.0,0.4967948717948718
8,0.07072819036742052,0.06843448709696531,0.9872611464968153,1.0,0.9935897435897436,155.0,0.0,0.0,0.0,2.0,0.4967948717948718
9,0.0567075143671698,0.04795067124068737,1.0,0.9741935483870968,0.9869281045751634,155.0,0.3333333333333333,1.0,0.5,2.0,0.7434640522875817
10,0.04953970244775216,0.07340848827734589,0.9872611464968153,1.0,0.9935897435897436,155.0,0.0,0.0,0.0,2.0,0.4967948717948718
11,0.03185666511870093,0.02685405146330595,1.0,0.9935483870967742,0.9967637540453075,155.0,0.6666666666666666,1.0,0.8,2.0,0.8983818770226537
12,0.008519360495524275,0.0787535572424531,0.9872611464968153,1.0,0.9935897435897436,155.0,0.0,0.0,0.0,2.0,0.4967948717948718
13,0.007420234413196643,0.08025709446519613,0.9872611464968153,1.0,0.9935897435897436,155.0,0.0,0.0,0.0,2.0,0.4967948717948718
14,0.009164635071323977,0.032992171286605296,1.0,0.9935483870967742,0.9967637540453075,155.0,0.6666666666666666,1.0,0.8,2.0,0.8983818770226537
15,0.006732214102521538,0.033560210512951015,1.0,0.9935483870967742,0.9967637540453075,155.0,0.6666666666666666,1.0,0.8,2.0,0.8983818770226537
16,0.006502789375372231,0.034127825312316416,1.0,0.9935483870967742,0.9967637540453075,155.0,0.6666666666666666,1.0,0.8,2.0,0.8983818770226537
17,0.0063938028308459455,0.03455161470919847,1.0,0.9935483870967742,0.9967637540453075,155.0,0.6666666666666666,1.0,0.8,2.0,0.8983818770226537
18,0.005600273409961826,0.03501825844869018,1.0,0.9935483870967742,0.9967637540453075,155.0,0.6666666666666666,1.0,0.8,2.0,0.8983818770226537
19,0.0017303809290751815,0.03524109551217407,1.0,0.9935483870967742,0.9967637540453075,155.0,0.6666666666666666,1.0,0.8,2.0,0.8983818770226537
20,0.0016850258715243804,0.035316133755259216,1.0,0.9935483870967742,0.9967637540453075,155.0,0.6666666666666666,1.0,0.8,2.0,0.8983818770226537
