epoch,train_loss,val_loss,precision_0,recall_0,f1_0,support_0,precision_1,recall_1,f1_1,support_1,macro_f1
1,0.3981974264796899,0.2632043739924064,0.9459459459459459,0.9120521172638436,0.9286898839137645,307.0,0.7,0.7974683544303798,0.7455621301775148,79.0,0.8371260070456397
2,0.2107347506193482,0.30985458768331087,0.9403973509933775,0.9250814332247557,0.9326765188834154,307.0,0.7261904761904762,0.7721518987341772,0.7484662576687117,79.0,0.8405713882760635
3,0.12676311950484404,0.4959850414441182,0.9522058823529411,0.8436482084690554,0.8946459412780656,307.0,0.5789473684210527,0.8354430379746836,0.6839378238341969,79.0,0.7892918825561313
4,0.11926393473178756,0.5347345304997781,0.8797653958944281,0.9771986970684039,0.9259259259259259,307.0,0.8444444444444444,0.4810126582278481,0.6129032258064516,79.0,0.7694145758661888
5,0.07536419080000142,0.492837878015752,0.9033232628398792,0.9739413680781759,0.9373040752351097,307.0,0.8545454545454545,0.5949367088607594,0.7014925373134329,79.0,0.8193983062742713
6,0.031489682400466075,0.5596305298117491,0.9358108108108109,0.9022801302931596,0.9187396351575456,307.0,0.6666666666666666,0.759493670886076,0.7100591715976331,79.0,0.8143994033775894
7,0.01642098356506369,0.6348895550920413,0.94,0.9185667752442996,0.929159802306425,307.0,0.7093023255813954,0.7721518987341772,0.7393939393939394,79.0,0.8342768708501822
8,0.004565647187314889,0.758643543938748,0.9375,0.9283387622149837,0.9328968903436988,307.0,0.7317073170731707,0.759493670886076,0.7453416149068323,79.0,0.8391192526252655
9,0.00390304878965253,0.763505633582379,0.9344262295081968,0.9283387622149837,0.9313725490196079,307.0,0.7283950617283951,0.7468354430379747,0.7375,79.0,0.834436274509804
10,0.0024052462678661626,0.8003575852064666,0.9375,0.9283387622149837,0.9328968903436988,307.0,0.7317073170731707,0.759493670886076,0.7453416149068323,79.0,0.8391192526252655
11,0.0017139272210758406,0.8258520282733326,0.9403973509933775,0.9250814332247557,0.9326765188834154,307.0,0.7261904761904762,0.7721518987341772,0.7484662576687117,79.0,0.8405713882760635
12,0.0016912285291811936,0.8216530400498484,0.934640522875817,0.9315960912052117,0.933115823817292,307.0,0.7375,0.7468354430379747,0.7421383647798742,79.0,0.8376270942985831
13,0.0016372347631751873,0.83289527386212,0.934640522875817,0.9315960912052117,0.933115823817292,307.0,0.7375,0.7468354430379747,0.7421383647798742,79.0,0.8376270942985831
14,0.0013155143375226952,0.8416874266006814,0.934640522875817,0.9315960912052117,0.933115823817292,307.0,0.7375,0.7468354430379747,0.7421383647798742,79.0,0.8376270942985831
15,0.0013602935039819628,0.8475843594703922,0.934640522875817,0.9315960912052117,0.933115823817292,307.0,0.7375,0.7468354430379747,0.7421383647798742,79.0,0.8376270942985831
16,0.001444457477488441,0.8535812424138735,0.9377049180327869,0.9315960912052117,0.934640522875817,307.0,0.7407407407407407,0.759493670886076,0.75,79.0,0.8423202614379085
17,0.0013010125151094124,0.857346323422322,0.9377049180327869,0.9315960912052117,0.934640522875817,307.0,0.7407407407407407,0.759493670886076,0.75,79.0,0.8423202614379085
18,0.001583158235898365,0.8591380597163851,0.934640522875817,0.9315960912052117,0.933115823817292,307.0,0.7375,0.7468354430379747,0.7421383647798742,79.0,0.8376270942985831
19,0.0015716147190316257,0.8603678181825671,0.934640522875817,0.9315960912052117,0.933115823817292,307.0,0.7375,0.7468354430379747,0.7421383647798742,79.0,0.8376270942985831
20,0.0014586516455372994,0.8608725228125247,0.934640522875817,0.9315960912052117,0.933115823817292,307.0,0.7375,0.7468354430379747,0.7421383647798742,79.0,0.8376270942985831
