section,category,metric,value,notes
OVERALL_RELIABILITY,ALL,Sample Size,501,Common sentences between coders
OVERALL_RELIABILITY,ALL,Percent Agreement,0.8829,Simple proportion of agreement
OVERALL_RELIABILITY,ALL,Cohen's Kappa,0.3106,Chance-corrected agreement
OVERALL_RELIABILITY,ALL,Scott's Pi,0.2481,Alternative chance correction
OVERALL_RELIABILITY,ALL,Gwet's AC1,0.7658,Robust to prevalence
OVERALL_RELIABILITY,ALL,Krippendorff's Alpha,nan,Handles missing data
OVERALL_RELIABILITY,ALL,F1 Agreement,0.3218,Symmetric F1 score
PER_LABEL_RELIABILITY,Cult_1_SUB,Sample Size,501,
PER_LABEL_RELIABILITY,Cult_1_SUB,Coder 1 Prevalence,0.0240,
PER_LABEL_RELIABILITY,Cult_1_SUB,Coder 2 Prevalence,0.0140,
PER_LABEL_RELIABILITY,Cult_1_SUB,Percent Agreement,0.9820,
PER_LABEL_RELIABILITY,Cult_1_SUB,Cohen's Kappa,0.5178,
PER_LABEL_RELIABILITY,Cult_1_SUB,Gwet's AC1,0.9641,
PER_LABEL_RELIABILITY,Cult_2_SUB,Sample Size,501,
PER_LABEL_RELIABILITY,Cult_2_SUB,Coder 1 Prevalence,0.0140,
PER_LABEL_RELIABILITY,Cult_2_SUB,Coder 2 Prevalence,0.0000,
PER_LABEL_RELIABILITY,Cult_2_SUB,Percent Agreement,0.9860,
PER_LABEL_RELIABILITY,Cult_2_SUB,Cohen's Kappa,0.0000,
PER_LABEL_RELIABILITY,Cult_2_SUB,Gwet's AC1,0.9721,
PER_LABEL_RELIABILITY,Cult_3_SUB,Sample Size,501,
PER_LABEL_RELIABILITY,Cult_3_SUB,Coder 1 Prevalence,0.0100,
PER_LABEL_RELIABILITY,Cult_3_SUB,Coder 2 Prevalence,0.0020,
PER_LABEL_RELIABILITY,Cult_3_SUB,Percent Agreement,0.9920,
PER_LABEL_RELIABILITY,Cult_3_SUB,Cohen's Kappa,0.3311,
PER_LABEL_RELIABILITY,Cult_3_SUB,Gwet's AC1,0.9840,
PER_LABEL_RELIABILITY,Cult_4_SUB,Sample Size,501,
PER_LABEL_RELIABILITY,Cult_4_SUB,Coder 1 Prevalence,0.0060,
PER_LABEL_RELIABILITY,Cult_4_SUB,Coder 2 Prevalence,0.0020,
PER_LABEL_RELIABILITY,Cult_4_SUB,Percent Agreement,0.9960,
PER_LABEL_RELIABILITY,Cult_4_SUB,Cohen's Kappa,0.4985,
PER_LABEL_RELIABILITY,Cult_4_SUB,Gwet's AC1,0.9920,
PER_LABEL_RELIABILITY,Cult_Detection,Sample Size,501,
PER_LABEL_RELIABILITY,Cult_Detection,Coder 1 Prevalence,0.0559,
PER_LABEL_RELIABILITY,Cult_Detection,Coder 2 Prevalence,0.0000,
PER_LABEL_RELIABILITY,Cult_Detection,Percent Agreement,0.9441,
PER_LABEL_RELIABILITY,Cult_Detection,Cohen's Kappa,0.0000,
PER_LABEL_RELIABILITY,Cult_Detection,Gwet's AC1,0.8882,
PER_LABEL_RELIABILITY,Eco_1_SUB,Sample Size,501,
PER_LABEL_RELIABILITY,Eco_1_SUB,Coder 1 Prevalence,0.0619,
PER_LABEL_RELIABILITY,Eco_1_SUB,Coder 2 Prevalence,0.0479,
PER_LABEL_RELIABILITY,Eco_1_SUB,Percent Agreement,0.9780,
PER_LABEL_RELIABILITY,Eco_1_SUB,Cohen's Kappa,0.7886,
PER_LABEL_RELIABILITY,Eco_1_SUB,Gwet's AC1,0.9561,
PER_LABEL_RELIABILITY,Eco_2_SUB,Sample Size,501,
PER_LABEL_RELIABILITY,Eco_2_SUB,Coder 1 Prevalence,0.0140,
PER_LABEL_RELIABILITY,Eco_2_SUB,Coder 2 Prevalence,0.0140,
PER_LABEL_RELIABILITY,Eco_2_SUB,Percent Agreement,1.0000,
PER_LABEL_RELIABILITY,Eco_2_SUB,Cohen's Kappa,1.0000,
PER_LABEL_RELIABILITY,Eco_2_SUB,Gwet's AC1,1.0000,
PER_LABEL_RELIABILITY,Eco_3_SUB,Sample Size,501,
PER_LABEL_RELIABILITY,Eco_3_SUB,Coder 1 Prevalence,0.0419,
PER_LABEL_RELIABILITY,Eco_3_SUB,Coder 2 Prevalence,0.0200,
PER_LABEL_RELIABILITY,Eco_3_SUB,Percent Agreement,0.9621,
PER_LABEL_RELIABILITY,Eco_3_SUB,Cohen's Kappa,0.3701,
PER_LABEL_RELIABILITY,Eco_3_SUB,Gwet's AC1,0.9242,
PER_LABEL_RELIABILITY,Eco_4_SUB,Sample Size,501,
PER_LABEL_RELIABILITY,Eco_4_SUB,Coder 1 Prevalence,0.0559,
PER_LABEL_RELIABILITY,Eco_4_SUB,Coder 2 Prevalence,0.0259,
PER_LABEL_RELIABILITY,Eco_4_SUB,Percent Agreement,0.9621,
PER_LABEL_RELIABILITY,Eco_4_SUB,Cohen's Kappa,0.5196,
PER_LABEL_RELIABILITY,Eco_4_SUB,Gwet's AC1,0.9242,
PER_LABEL_RELIABILITY,Eco_5_SUB,Sample Size,501,
