n_sentences,percent_agreement,cohens_kappa,scotts_pi,gwet_ac1,krippendorff_alpha,f1_agreement,sample_size,num_labels
100,0.934,0.518,0.549,0.867,0.650,0.519,100,65
200,0.939,0.527,0.523,0.879,0.671,0.566,200,65
300,0.942,0.538,0.535,0.884,0.675,0.576,300,65
400,0.941,0.527,0.524,0.883,0.667,0.565,400,65
500,0.944,0.534,0.531,0.887,0.676,0.570,500,65
600,0.945,0.554,0.551,0.889,0.685,0.590,600,65
700,0.946,0.566,0.563,0.892,0.692,0.601,700,65
800,0.945,0.569,0.566,0.891,0.689,0.604,800,65
900,0.945,0.568,0.566,0.891,0.689,0.603,900,65
1000,0.946,0.572,0.570,0.891,0.690,0.607,1000,65
