label,before_n,before_kappa,before_gwet,before_kripp,before_agree,after_n,after_kappa,after_gwet,after_kripp,after_agree
OVERALL,600,0.554,0.889,0.685,0.945,400,0.596,0.894,0.698,0.947
Cult_1_SUB,600,0.575,0.967,0.575,0.983,400,0.792,0.970,0.792,0.985
Cult_2_SUB,600,0.000,0.973,0.987,0.987,400,0.000,0.985,0.993,0.993
Cult_3_SUB,600,0.331,0.987,0.331,0.993,400,1.000,1.000,1.000,1.000
Cult_4_SUB,600,0.665,0.993,0.665,0.997,400,nan,1.000,1.000,1.000
Cult_Detection,600,0.449,0.923,0.446,0.962,400,0.757,0.955,0.758,0.978
Eco_1_SUB,600,0.782,0.953,0.782,0.977,400,0.542,0.915,0.542,0.958
Eco_2_SUB,600,1.000,1.000,1.000,1.000,400,0.831,0.990,0.831,0.995
Eco_3_SUB,600,0.525,0.917,0.524,0.958,400,0.471,0.890,0.472,0.945
Eco_4_SUB,600,0.483,0.927,0.481,0.963,400,0.436,0.905,0.433,0.953
Eco_5_SUB,600,0.275,0.823,0.265,0.912,400,0.441,0.820,0.437,0.910
Eco_Detection,600,0.589,0.730,0.585,0.865,400,0.625,0.735,0.625,0.868
Emotion:_Negative,600,0.528,0.590,0.527,0.795,400,0.561,0.590,0.561,0.795
Emotion:_Neutral,600,0.422,0.430,0.416,0.715,400,0.468,0.470,0.468,0.735
Emotion:_Positive,600,0.445,0.803,0.442,0.902,400,0.468,0.830,0.468,0.915
Envt_1_SUB,600,0.253,0.927,0.248,0.963,400,0.450,0.910,0.448,0.955
Envt_2_SUB,600,0.392,0.923,0.391,0.962,400,0.432,0.915,0.430,0.958
Envt_Detection,600,0.428,0.903,0.428,0.952,400,0.588,0.905,0.587,0.953
Event_1_SUB,600,0.687,0.943,0.687,0.972,400,0.718,0.945,0.718,0.973
Event_2_SUB,600,0.592,0.897,0.590,0.948,400,0.762,0.925,0.762,0.963
