label,primary_f1_ALL,primary_support_ALL,primary_f1_EN,primary_support_EN,primary_f1_FR,primary_support_FR,second_f1_ALL,second_f1_EN,second_f1_FR,consensus_f1_ALL,consensus_f1_EN,consensus_f1_FR
Cult_1_SUB,0.535,135,0.783,67,0.250,68,0.476,0.711,0.205,0.405,0.634,0.158
Cult_2_SUB,0.247,135,0.438,67,0.098,68,0.000,0.000,0.000,0.000,0.000,0.000
Cult_3_SUB,0.333,135,0.700,67,0.071,68,0.182,0.471,0.000,0.182,0.471,0.000
Cult_4_SUB,0.077,135,0.444,67,0.029,68,0.052,0.444,0.000,0.052,0.444,0.000
Cult_Detection,0.471,1000,0.648,492,0.228,508,0.327,0.484,0.135,0.287,0.437,0.110
Eco_1_SUB,0.683,221,0.750,105,0.607,116,0.545,0.656,0.408,0.528,0.632,0.408
Eco_2_SUB,0.440,221,0.667,105,0.100,116,0.408,0.667,0.000,0.408,0.667,0.000
Eco_3_SUB,0.577,221,0.618,105,0.531,116,0.311,0.326,0.298,0.329,0.300,0.359
Eco_4_SUB,0.763,221,0.818,105,0.717,116,0.356,0.412,0.308,0.377,0.438,0.324
Eco_5_SUB,0.679,221,0.679,105,0.679,116,0.347,0.390,0.294,0.371,0.432,0.303
Eco_Detection,0.740,1000,0.764,492,0.718,508,0.615,0.670,0.555,0.641,0.706,0.575
Emotion:_Negative,0.751,1000,0.738,492,0.763,508,0.685,0.682,0.688,0.640,0.638,0.642
Emotion:_Neutral,0.824,1000,0.800,492,0.846,508,0.708,0.683,0.730,0.706,0.690,0.721
Emotion:_Positive,0.461,1000,0.478,492,0.444,508,0.509,0.505,0.512,0.380,0.385,0.376
Envt_1_SUB,0.816,77,0.821,36,0.812,41,0.301,0.286,0.311,0.306,0.296,0.311
Envt_2_SUB,0.761,77,0.762,36,0.760,41,0.294,0.412,0.176,0.277,0.387,0.176
Envt_Detection,0.759,1000,0.750,492,0.767,508,0.471,0.508,0.429,0.462,0.510,0.415
Event_1_SUB,0.810,405,0.812,185,0.808,220,0.627,0.655,0.591,0.606,0.618,0.591
Event_2_SUB,0.812,405,0.767,185,0.840,220,0.636,0.629,0.641,0.613,0.646,0.592
Event_3_SUB,0.936,405,0.915,185,0.946,220,0.856,0.833,0.867,0.869,0.873,0.867
Event_4_SUB,0.828,405,0.844,185,0.810,220,0.727,0.744,0.706,0.712,0.750,0.667
Event_5_SUB,0.718,405,0.712,185,0.725,220,0.643,0.531,0.737,0.600,0.483,0.710
Event_6_SUB,0.645,405,0.308,185,0.889,220,0.526,0.167,0.788,0.536,0.174,0.788
Event_7_SUB,0.780,405,0.828,185,0.733,220,0.643,0.733,0.538,0.692,0.815,0.560
Event_8_SUB,0.896,405,0.968,185,0.833,220,0.820,0.933,0.710,0.862,0.966,0.759
Event_Detection,0.879,1000,0.855,492,0.900,508,0.775,0.789,0.763,0.821,0.826,0.816
Just_1_SUB,0.581,165,0.457,81,0.655,84,0.147,0.148,0.146,0.152,0.148,0.154
Just_2_SUB,0.808,165,0.850,81,0.781,84,0.530,0.467,0.566,0.530,0.467,0.566
Just_3_SUB,0.765,165,0.667,81,0.844,84,0.639,0.581,0.683,0.667,0.581,0.737
Just_4_SUB,0.594,165,0.533,81,0.708,84,0.022,0.000,0.074,0.022,0.000,0.077
Just_5_SUB,0.906,165,0.870,81,0.927,84,0.704,0.375,0.842,0.654,0.375,0.778
Just_Detection,0.757,1000,0.713,492,0.797,508,0.541,0.390,0.667,0.568,0.422,0.687
Location_Detection,0.981,1000,0.985,492,0.978,508,0.928,0.926,0.929,0.968,0.958,0.978
Messenger_1_SUB,0.828,608,0.744,302,0.909,306,0.682,0.591,0.780,0.734,0.667,0.800
Messenger_2_SUB,0.772,608,0.720,302,0.812,306,0.622,0.561,0.677,0.673,0.696,0.655
Messenger_3_SUB,0.593,608,0.471,302,0.649,306,0.245,0.000,0.375,0.238,0.000,0.333
Messenger_4_SUB,0.836,608,0.727,302,0.864,306,0.680,0.600,0.700,0.696,0.750,0.684
Messenger_5_SUB,0.707,608,0.731,302,0.667,306,0.667,0.731,0.562,0.676,0.739,0.571
Messenger_6_SUB,0.844,608,0.864,302,0.827,306,0.621,0.554,0.686,0.710,0.718,0.703
Messenger_7_SUB,0.897,608,0.882,302,0.906,306,0.619,0.686,0.571,0.686,0.786,0.619
Messenger_8_SUB,0.852,608,0.881,302,0.825,306,0.618,0.678,0.562,0.745,0.800,0.692
Messenger_9_SUB,0.909,608,0.906,302,0.912,306,0.751,0.709,0.786,0.788,0.734,0.836
Messenger_Detection,0.970,1000,0.965,492,0.974,508,0.886,0.873,0.899,0.950,0.940,0.960
Pbh_1_SUB,0.727,70,0.772,35,0.679,35,0.641,0.727,0.542,0.614,0.704,0.511
Pbh_3_SUB,0.197,70,0.188,35,0.205,35,0.062,0.069,0.056,0.031,0.069,0.000
Pbh_Detection,0.641,1000,0.629,492,0.655,508,0.586,0.636,0.520,0.571,0.635,0.490
Pol_1_SUB,0.577,414,0.652,186,0.523,228,0.427,0.489,0.389,0.512,0.606,0.449
Pol_2_SUB,0.859,414,0.814,186,0.894,228,0.590,0.537,0.633,0.584,0.525,0.630
Pol_3_SUB,0.650,414,0.641,186,0.667,228,0.189,0.137,0.259,0.172,0.085,0.311
Pol_4_SUB,0.806,414,0.774,186,0.833,228,0.545,0.593,0.500,0.545,0.593,0.500
Pol_Detection,0.794,1000,0.759,492,0.822,508,0.672,0.605,0.723,0.693,0.613,0.753
RED_Detection,0.722,1000,0.760,492,0.690,508,0.152,0.133,0.167,0.154,0.138,0.167
Sci_1_SUB,0.906,113,0.962,52,0.852,61,0.299,0.353,0.242,0.303,0.364,0.242
Sci_2_SUB,0.859,113,0.893,52,0.833,61,0.620,0.682,0.571,0.646,0.714,0.593
Sci_3_SUB,0.654,113,0.667,52,0.643,61,0.154,0.118,0.182,0.162,0.125,0.190
Sci_4_SUB,0.452,113,0.636,52,0.000,61,0.538,0.636,0.000,0.560,0.667,0.000
Sci_Detection,0.809,1000,0.810,492,0.809,508,0.578,0.579,0.577,0.677,0.714,0.640
Secu_1_SUB,0.091,42,0.000,0,0.091,42,0.047,0.000,0.047,0.047,0.000,0.047
Secu_2_SUB,1.000,42,0.000,0,1.000,42,0.000,0.000,0.000,0.000,0.000,0.000
