model_name,best_epoch,score,macro_f1,weighted_f1,test_loss,train_loss,class_1_precision,class_1_recall,class_1_f1_score,class_1_support,class_0_support,train_class_0_count,train_class_1_count,test_class_0_count,test_class_1_count
Eco_1_SUB_FR.jsonl,13,3.5160000000000005,0.87,0.89,0.37,0.04,0.78,0.88,0.82,8.0,19.0,178,75,19,8
Pol_2_SUB_FR.jsonl,7,3.7840000000000003,0.77,0.93,0.16,0.15,0.95,0.98,0.97,43.0,4.0,45,396,4,43
Just_4_SUB_FR.jsonl,1,0.386,0.43,0.64,0.6,0.66,0.0,0.0,0.0,2.0,6.0,62,20,6,2
Event_8_SUB_FR.jsonl,11,0.486,0.49,0.96,0.08,0.04,0.0,0.0,0.0,1.0,38.0,347,8,38,1
Messenger_5_SUB_FR.jsonl,3,0.496,0.5,0.98,0.06,0.07,0.0,0.0,0.0,1.0,80.0,727,9,80,1
Pol_Detection_FR.jsonl,1,2.832,0.77,0.81,0.39,0.49,0.69,0.69,0.69,48.0,108.0,977,440,108,48
Event_2_SUB_EN.jsonl,5,3.97,0.96,0.97,0.1,0.02,0.89,1.0,0.94,8.0,24.0,224,75,24,8
Event_7_SUB_FR.jsonl,7,4.0,1.0,1.0,0.03,0.04,1.0,1.0,1.0,1.0,38.0,344,11,38,1
Cult_3_SUB_EN.jsonl,16,0.386,0.43,0.64,0.27,0.04,0.0,0.0,0.0,1.0,3.0,34,10,3,1
Sci_3_SUB_FR.jsonl,7,0.478,0.49,0.92,0.2,0.16,0.0,0.0,0.0,1.0,18.0,169,17,18,1
Secu_3_SUB_FR.jsonl,17,0.264,0.33,0.33,0.6,0.42,0.0,0.0,0.0,1.0,1.0,12,7,1,1
Just_1_SUB_EN.jsonl,1,0.4,0.44,0.68,0.61,0.72,0.0,0.0,0.0,2.0,7.0,70,20,7,2
Eco_4_SUB_EN.jsonl,9,1.624,0.66,0.86,0.43,0.07,0.5,0.33,0.4,3.0,20.0,183,36,20,3
RED_Detection_EN.jsonl,3,1.9980000000000002,0.72,0.95,0.18,0.08,0.5,0.43,0.46,7.0,135.0,1219,66,135,7
Cult_Detection_EN.jsonl,2,0.486,0.49,0.96,0.15,0.14,0.0,0.0,0.0,4.0,137.0,1242,44,137,4
Event_Detection_FR.jsonl,2,3.0820000000000003,0.76,0.81,0.38,0.38,0.58,0.77,0.66,39.0,117.0,1062,355,117,39
Just_3_SUB_FR.jsonl,6,0.44999999999999996,0.47,0.84,0.37,0.31,0.0,0.0,0.0,1.0,8.0,72,9,8,1
Messenger_8_SUB_EN.jsonl,4,2.636,0.87,0.97,0.08,0.08,1.0,0.6,0.75,5.0,67.0,604,53,67,5
Envt_2_SUB_EN.jsonl,3,3.8960000000000004,0.87,0.87,0.67,0.7,0.8,1.0,0.89,4.0,4.0,43,42,4,4
Event_5_SUB_EN.jsonl,3,0.41800000000000004,0.45,0.74,0.24,0.31,0.0,0.0,0.0,6.0,27.0,243,55,27,6
Location_Detection_FR.jsonl,2,3.984,0.98,0.98,0.08,0.17,0.95,1.0,0.97,54.0,102.0,924,493,102,54
Cult_1_SUB_FR.jsonl,7,0.318,0.38,0.45,0.56,0.54,0.0,0.0,0.0,2.0,3.0,27,18,3,2
Sci_1_SUB_EN.jsonl,3,1.6940000000000004,0.51,0.54,0.63,0.55,0.4,0.4,0.4,10.0,16.0,146,98,16,10
Sci_4_SUB_FR.jsonl,8,0.43200000000000005,0.46,0.78,0.41,0.44,0.0,0.0,0.0,3.0,17.0,153,32,17,3
Messenger_7_SUB_EN.jsonl,5,0.496,0.5,0.98,0.05,0.05,0.0,0.0,0.0,1.0,71.0,648,9,71,1
Secu_4_SUB_FR.jsonl,1,0.264,0.33,0.33,0.69,0.69,0.0,0.0,0.0,1.0,1.0,12,7,1,1
Cult_4_SUB_EN.jsonl,3,0.406,0.44,0.71,0.47,0.31,0.0,0.0,0.0,1.0,4.0,42,1,4,1
Eco_3_SUB_EN.jsonl,4,2.176,0.7,0.78,0.54,0.36,0.6,0.5,0.55,6.0,17.0,156,63,17,6
Solution_1_SUB_FR.jsonl,5,3.966,0.95,0.98,0.16,0.18,0.98,1.0,0.99,40.0,6.0,55,360,6,40
Sci_Detection_FR.jsonl,4,3.596,0.88,0.94,0.15,0.09,0.72,0.9,0.8,20.0,136.0,1232,185,136,20
Eco_5_SUB_EN.jsonl,3,0.36,0.41,0.57,0.6,0.56,0.0,0.0,0.0,7.0,16.0,152,67,16,7
Sci_2_SUB_FR.jsonl,5,3.6060000000000003,0.44,0.71,0.47,0.47,0.8,1.0,0.89,16.0,4.0,41,144,4,16
Messenger_1_SUB_EN.jsonl,3,0.496,0.5,0.98,0.06,0.06,0.0,0.0,0.0,1.0,71.0,647,10,71,1
Secu_2_SUB_FR.jsonl,1,0.264,0.33,0.33,0.69,0.69,0.0,0.0,0.0,1.0,1.0,18,1,1,1
Envt_1_SUB_FR.jsonl,4,3.4640000000000004,0.33,0.33,0.69,0.66,0.5,1.0,0.67,3.0,3.0,28,35,3,3
Solutions_Detection_EN.jsonl,2,3.0900000000000003,0.81,0.86,0.4,0.31,0.68,0.76,0.72,34.0,107.0,972,314,107,34
Event_6_SUB_FR.jsonl,10,4.0,1.0,1.0,0.01,0.02,1.0,1.0,1.0,1.0,38.0,345,10,38,1
Cult_2_SUB_EN.jsonl,3,0.386,0.43,0.64,0.58,0.5,0.0,0.0,0.0,1.0,3.0,33,11,3,1
Emotion:_Positive_EN.jsonl,4,1.4560000000000002,0.68,0.92,0.28,0.05,0.75,0.27,0.4,11.0,131.0,1182,103,131,11
Envt_Detection_EN.jsonl,3,3.462,0.72,0.91,0.29,0.07,0.35,0.89,0.5,9.0,133.0,1201,84,133,9
Event_3_SUB_EN.jsonl,6,3.97,0.96,0.97,0.17,0.01,0.89,1.0,0.94,8.0,24.0,225,74,24,8
Just_Detection_FR.jsonl,10,3.2380000000000004,0.91,0.98,0.08,0.01,0.88,0.78,0.82,9.0,148.0,1335,81,148,9
Solution_2_SUB_EN.jsonl,7,2.622,0.86,0.93,0.12,0.02,1.0,0.6,0.75,5.0,29.0,268,46,29,5
Pol_3_SUB_FR.jsonl,5,0.47,0.48,0.91,0.19,0.24,0.0,0.0,0.0,3.0,45.0,405,35,45,3
Just_5_SUB_FR.jsonl,8,0.44999999999999996,0.47,0.84,0.35,0.26,0.0,0.0,0.0,1.0,8.0,75,6,8,1
Secu_Detection_EN.jsonl,3,2.2960000000000003,0.83,0.99,0.05,0.02,1.0,0.5,0.67,2.0,140.0,1266,19,140,2
Eco_2_SUB_EN.jsonl,4,0.482,0.49,0.94,0.15,0.16,0.0,0.0,0.0,1.0,22.0,205,14,22,1
Pol_1_SUB_EN.jsonl,3,0.43600000000000005,0.46,0.8,0.21,0.28,0.0,0.0,0.0,6.0,39.0,355,62,39,6
