number,category,code,tier_overall,tier_en,tier_fr,paradox_kappa,exclusion_reason,f1_all,f1_en,f1_fr,support_all,support_en,support_fr,cohens_kappa_blind_phase,gwet_ac1_blind_phase,krippendorff_alpha_blind_phase,n_blind_phase,prev_coder1_full,prev_coder2_full
1,Economic Frame (Primary Category),economic_frame,A,A,A,False,,0.83,0.847,0.814,249,120,129,0.625,0.735,0.625,400,0.249,0.179
2,Negative impacts of climate change on the economy,eco_neg_impact,B,B,B,False,,0.783,0.82,0.741,44,26,18,0.542,0.915,0.542,400,0.057,0.05
3,Positive impacts of climate change on the economy,eco_pos_impact,B,A,C,False,,0.684,0.806,0.508,13,12,1,0.831,0.99,0.831,400,0.014,0.014
4,Economic disadvantages of climate action,eco_cost,B,B,B,False,,0.723,0.741,0.702,45,22,23,0.471,0.89,0.472,400,0.058,0.041
5,Economic benefits of climate action,eco_benefit,B,B,B,False,,0.848,0.885,0.817,45,19,26,0.436,0.905,0.433,400,0.053,0.026
6,Carbon footprint of the economic sector,eco_footprint,B,B,B,False,,0.787,0.785,0.788,59,30,29,0.441,0.82,0.437,400,0.101,0.046
7,Health Frame (Primary Category),health_frame,A,A,A,False,,0.808,0.8,0.817,58,35,23,0.865,0.975,0.865,400,0.058,0.046
8,Negative impacts of climate change on health,health_neg_impact,C,C,C,False,,0.364,0.386,0.34,40,22,18,0.851,0.975,0.851,400,0.052,0.043
9,Health co-benefits of climate action,health_cobenefit,C,C,C,False,,0.186,0.252,0.103,8,4,4,-0.004,0.98,-0.004,400,0.01,0.003
10,Security Frame (Primary Category),security_frame,B,A,B,False,,0.782,0.825,0.73,49,30,19,0.851,0.975,0.851,400,0.049,0.035
11,Presence of climate refugees,security_refugees,C,C,C,False,,0.481,0.476,0.417,27,21,6,0.907,0.99,0.907,400,0.029,0.024
12,Conflict,security_conflict,C,C,C,False,,0.324,0.358,0.286,13,7,6,1.0,1.0,1.0,400,0.015,0.011
13,Post-disaster military assistance,security_military,C,C,C,False,insufficient_training_data,0.045,0.0,0.045,2,0,2,-0.003,0.99,-0.001,400,0.004,0.003
14,Disruption of military operations,security_disruption,C,C,C,False,insufficient_training_data,1.0,0.0,1.0,2,0,2,,1.0,1.0,400,0.004,0.0
