number,category,code,language,technical_label,reinforcement_triggered,n_epochs_normal_executed,n_epochs_reinforced_executed,best_epoch,best_training_phase,best_train_loss,best_val_loss,best_precision_0,best_recall_0,best_f1_0,support_0,best_precision_1,best_recall_1,best_f1_1,support_1,best_macro_f1,saved_model_path,model_artifact_mtime_utc
1,Economic Frame (Primary Category),economic_frame,EN,Eco_Detection,True,20,20.0,4,reinforced,0.0015611232693551,0.5631625292822718,0.9565217391304348,0.9322033898305084,0.944206008583691,118,0.7037037037037037,0.7916666666666666,0.7450980392156863,24,0.8446520238996886,models/Eco_Detection_EN.jsonl.model_reinforced_epoch_4,2025-05-01T14:56:59+00:00
1,Economic Frame (Primary Category),economic_frame,FR,Eco_Detection,False,20,,13,normal,0.0112282971851527,0.4084944065660238,0.9682539682539684,0.9457364341085271,0.9568627450980391,129,0.7741935483870968,0.8571428571428571,0.8135593220338984,28,0.8852110335659689,models/Eco_Detection_FR.jsonl.model_epoch_13,2025-05-01T15:09:19+00:00
2,Negative impacts of climate change on the economy,eco_neg_impact,EN,Eco_1_SUB,False,20,,12,normal,0.0003242139854202,1.1055182218551636,0.8888888888888888,0.9411764705882352,0.9142857142857144,17,0.8,0.6666666666666666,0.7272727272727273,6,0.8207792207792208,models/Eco_1_SUB_EN.jsonl.model_epoch_12,2025-05-01T14:07:54+00:00
2,Negative impacts of climate change on the economy,eco_neg_impact,FR,Eco_1_SUB,False,20,,3,normal,0.3788362145423889,0.3067318201065063,1.0,0.8947368421052632,0.9444444444444444,19,0.8,1.0,0.8888888888888888,8,0.9166666666666666,models/Eco_1_SUB_FR.jsonl.model_epoch_3,2025-05-01T14:08:22+00:00
3,Positive impacts of climate change on the economy,eco_pos_impact,EN,Eco_2_SUB,True,20,20.0,6,normal,0.000446166525855,0.0961085384809009,0.9896103896103896,1.0,0.9947780678851176,381,1.0,0.2,0.3333333333333333,5,0.6640557006092254,models/Eco_2_SUB_EN.jsonl.model_epoch_6,2025-05-01T14:10:57+00:00
3,Positive impacts of climate change on the economy,eco_pos_impact,FR,Eco_2_SUB,True,20,20.0,4,reinforced,0.2983606305833046,0.0983855340343255,0.9951573849878934,0.9975728155339806,0.9963636363636365,412,0.5,0.3333333333333333,0.4,3,0.6981818181818182,models/Eco_2_SUB_FR.jsonl.model_reinforced_epoch_4,2025-05-01T14:28:42+00:00
4,Economic disadvantages of climate action,eco_cost,EN,Eco_3_SUB,True,20,20.0,5,normal,0.1923794214214597,0.5835806131362915,0.875,0.8235294117647058,0.8484848484848485,17,0.5714285714285714,0.6666666666666666,0.6153846153846154,6,0.731934731934732,models/Eco_3_SUB_EN.jsonl.model_epoch_5,2025-05-01T14:33:24+00:00
4,Economic disadvantages of climate action,eco_cost,FR,Eco_3_SUB,True,20,20.0,1,reinforced,0.959243267774582,0.4791963398456573,0.9130434782608696,0.9130434782608696,0.9130434782608696,23,0.5,0.5,0.5,4,0.7065217391304348,models/Eco_3_SUB_FR.jsonl.model_reinforced_epoch_1,2025-05-01T14:35:23+00:00
5,Economic benefits of climate action,eco_benefit,EN,Eco_4_SUB,True,20,20.0,9,normal,0.0026858087595818,0.6354692578315735,0.9090909090909092,1.0,0.9523809523809524,20,1.0,0.3333333333333333,0.5,3,0.7261904761904762,models/Eco_4_SUB_EN.jsonl.model_epoch_9,2025-05-01T14:36:23+00:00
5,Economic benefits of climate action,eco_benefit,FR,Eco_4_SUB,True,20,20.0,17,normal,0.1031144257061756,0.1208037698211578,0.98,0.9824561403508772,0.981226533166458,399,0.5333333333333333,0.5,0.5161290322580645,16,0.7486777827122613,models/Eco_4_SUB_FR.jsonl.model_epoch_17,2025-05-01T14:42:37+00:00
6,Carbon footprint of the economic sector,eco_footprint,EN,Eco_5_SUB,False,20,,8,normal,0.0013036901613564,0.349889725446701,0.9375,0.9375,0.9375,16,0.8571428571428571,0.8571428571428571,0.8571428571428571,7,0.8973214285714286,models/Eco_5_SUB_EN.jsonl.model_epoch_8,2025-05-01T14:49:29+00:00
6,Carbon footprint of the economic sector,eco_footprint,FR,Eco_5_SUB,False,20,,16,normal,0.0150524795753881,0.3551457226276397,0.9047619047619048,1.0,0.95,19,1.0,0.75,0.8571428571428571,8,0.9035714285714284,models/Eco_5_SUB_FR.jsonl.model_epoch_16,2025-05-01T14:50:36+00:00
7,Health Frame (Primary Category),health_frame,EN,Pbh_Detection,False,20,,9,normal,0.0007538369815248,0.0963987194510991,1.0,0.9779411764705882,0.9888475836431226,136,0.6666666666666666,1.0,0.8,6,0.8944237918215614,models/Pbh_Detection_EN.jsonl.model_epoch_9,2025-05-02T07:04:12+00:00
7,Health Frame (Primary Category),health_frame,FR,Pbh_Detection,True,20,20.0,6,normal,0.0512244835082027,0.0609653282910585,0.9870967741935484,1.0,0.9935064935064936,153,1.0,0.5,0.6666666666666666,4,0.8300865800865801,models/Pbh_Detection_FR.jsonl.model_epoch_6,2025-05-02T07:14:25+00:00
8,Negative impacts of climate change on health,health_neg_impact,EN,Pbh_1_SUB,False,20,,1,normal,0.5870267450809479,0.4958572089672088,0.0,0.0,0.0,1,0.8333333333333334,1.0,0.9090909090909092,5,0.4545454545454545,models/Pbh_1_SUB_EN.jsonl.model_epoch_1,2025-05-02T06:30:59+00:00
8,Negative impacts of climate change on health,health_neg_impact,FR,Pbh_1_SUB,False,20,,1,normal,0.6650736331939697,0.6029517650604248,0.0,0.0,0.0,1,0.75,1.0,0.8571428571428571,3,0.4285714285714285,models/Pbh_1_SUB_FR.jsonl.model_epoch_1,2025-05-02T06:31:51+00:00
9,Health co-benefits of climate action,health_cobenefit,EN,Pbh_3_SUB,True,20,20.0,17,reinforced,0.6794833540916443,0.7241544723510742,1.0,0.4,0.5714285714285714,5,0.25,1.0,0.4,1,0.4857142857142857,models/Pbh_3_SUB_EN.jsonl.model_reinforced_epoch_17,2025-05-02T06:33:58+00:00
9,Health co-benefits of climate action,health_cobenefit,FR,Pbh_3_SUB,True,20,20.0,2,reinforced,1.439959656733733,1.1011949961002057,1.0,0.1283292978208232,0.2274678111587982,413,0.005524861878453,1.0,0.0109890109890109,2,0.1192284110739046,models/Pbh_3_SUB_FR.jsonl.model_reinforced_epoch_2,2025-05-02T06:49:59+00:00
10,Security Frame (Primary Category),security_frame,EN,Secu_Detection,False,20,,9,normal,0.0042381116880427,0.0469920966402591,0.9946666666666668,0.997326203208556,0.9959946595460614,374,0.9090909090909092,0.8333333333333334,0.8695652173913043,12,0.9327799384686828,models/Secu_Detection_EN.jsonl.model_epoch_9,2025-05-02T11:36:34+00:00
10,Security Frame (Primary Category),security_frame,FR,Secu_Detection,False,20,,11,normal,0.0318566651187009,0.0268540514633059,1.0,0.9935483870967742,0.9967637540453076,155,0.6666666666666666,1.0,0.8,2,0.8983818770226537,models/Secu_Detection_FR.jsonl.model_epoch_11,2025-05-02T11:51:06+00:00
