label,language,f1_macro,f1_micro,f1_weighted,precision_macro,recall_macro,precision_micro,recall_micro,precision_weighted,recall_weighted,f1_1,precision_1,recall_1,support_1,f1_0,precision_0,recall_0,support_0,TP_1,FP_1,FN_1,TP_0,FP_0,FN_0,support_total
Activist,EN,0.934,0.977,0.976,0.955,0.916,0.977,0.977,0.976,0.977,0.881,0.929,0.839,31,0.987,0.982,0.993,271,26,2,5,269,5,2,302
Activist,FR,0.903,0.964,0.963,0.921,0.887,0.964,0.964,0.963,0.964,0.825,0.867,0.788,33,0.980,0.975,0.985,273,26,4,7,269,7,4,306
Activist,ALL,0.918,0.970,0.970,0.937,0.901,0.970,0.970,0.970,0.970,0.852,0.897,0.812,64,0.984,0.978,0.989,544,52,6,12,538,12,6,608
Adaptation Strategy,EN,0.889,0.934,0.934,0.889,0.889,0.934,0.934,0.934,0.934,0.818,0.818,0.818,22,0.960,0.960,0.960,99,18,4,4,95,4,4,121
Adaptation Strategy,FR,0.903,0.952,0.954,0.870,0.946,0.952,0.952,0.959,0.952,0.833,0.750,0.938,16,0.972,0.990,0.954,108,15,5,1,103,1,5,124
Adaptation Strategy,ALL,0.895,0.943,0.944,0.881,0.912,0.943,0.943,0.946,0.943,0.825,0.786,0.868,38,0.966,0.975,0.957,207,33,9,5,198,5,9,245
Artistic Representation,EN,0.834,0.851,0.858,0.821,0.898,0.851,0.851,0.904,0.851,0.783,0.643,1.000,18,0.886,1.000,0.796,49,18,10,0,39,0,10,67
Artistic Representation,FR,0.469,0.559,0.649,0.559,0.683,0.559,0.559,0.898,0.559,0.250,0.147,0.833,6,0.688,0.971,0.532,62,5,29,1,33,1,29,68
Artistic Representation,ALL,0.659,0.704,0.739,0.679,0.803,0.704,0.704,0.877,0.704,0.535,0.371,0.958,24,0.783,0.986,0.649,111,23,39,1,72,1,39,135
Benefits of Climate Action,EN,0.885,0.924,0.928,0.854,0.933,0.924,0.924,0.939,0.924,0.818,0.720,0.947,19,0.952,0.988,0.919,86,18,7,1,79,1,7,105
Benefits of Climate Action,FR,0.817,0.871,0.872,0.813,0.821,0.871,0.871,0.873,0.871,0.717,0.704,0.731,26,0.916,0.921,0.911,90,19,8,7,82,7,8,116
Benefits of Climate Action,ALL,0.848,0.896,0.899,0.832,0.868,0.896,0.896,0.904,0.896,0.763,0.712,0.822,45,0.933,0.953,0.915,176,37,15,8,161,8,15,221
Canadian Context,EN,0.986,0.986,0.986,0.986,0.985,0.986,0.986,0.986,0.986,0.985,0.991,0.979,235,0.986,0.981,0.992,257,230,2,5,255,5,2,492
Canadian Context,FR,0.978,0.978,0.978,0.979,0.978,0.978,0.978,0.979,0.978,0.978,0.996,0.961,255,0.979,0.962,0.996,253,245,1,10,252,10,1,508
Canadian Context,ALL,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.981,0.994,0.969,490,0.983,0.971,0.994,510,475,3,15,507,15,3,1000
Climate-Driven Displacement,EN,0.476,0.545,0.468,0.656,0.563,0.545,0.545,0.663,0.545,0.667,0.513,0.952,21,0.286,0.800,0.174,23,20,19,1,4,1,19,44
Climate-Driven Displacement,FR,0.417,0.429,0.476,0.600,0.667,0.429,0.429,0.886,0.429,0.333,0.200,1.000,6,0.500,1.000,0.333,36,6,24,0,12,0,24,42
Climate-Driven Displacement,ALL,0.481,0.488,0.459,0.659,0.617,0.488,0.488,0.764,0.488,0.542,0.377,0.963,27,0.421,0.941,0.271,59,26,43,1,16,1,43,86
